% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.026	1	1	3	7	1	0	26	0
0.026	2	2	3	7	1	0	26	0
0.026	3	3	3	7	1	0	28	0
0.027	1	1	3	8	1	0	26	0
0.027	2	2	3	8	1	0	26	0
0.027	3	3	3	8	1	0	28	0
0.028	1	1	3	9	1	0	26	0
0.028	2	2	3	9	1	0	26	0
0.028	3	3	3	9	1	0	28	0
0.029	1	1	3	10	1	0	26	0
0.029	2	2	3	10	1	0	26	0
0.029	3	3	3	10	1	0	28	0
0.03	1	1	4	1	1	0	26	0
0.03	2	2	4	1	1	0	26	0
0.03	3	3	4	1	1	0	28	0
0.031	1	1	4	2	1	0	11	0
0.031	1	4	4	2	3	0	11	0
0.031	2	2	4	2	1	0	11	0
0.031	2	5	4	2	3	0	11	0
0.031	3	3	4	2	1	0	11	0
0.031	3	6	4	2	3	0	11	0
0.032	1	1	4	3	1	0	11	0
0.032	1	4	4	3	3	0	11	0
0.032	2	2	4	3	1	0	11	0
0.032	2	5	4	3	3	0	11	0
0.032	3	3	4	3	1	0	11	0
0.032	3	6	4	3	3	0	11	0
0.033	1	1	4	4	1	28	373	0
0.033	1	4	4	4	3	0	11	0
0.033	2	2	4	4	1	28	373	0
0.033	2	5	4	4	3	0	11	0
0.033	3	3	4	4	1	28	373	0
0.033	3	6	4	4	3	0	11	0
0.034	1	1	4	5	1	28	373	0
0.034	1	4	4	5	3	0	11	0
0.034	2	2	4	5	1	28	373	0
0.034	2	5	4	5	3	0	11	0
0.034	3	3	4	5	1	28	373	0
0.034	3	6	4	5	3	0	11	0
0.035	1	1	4	6	1	28	373	0
0.035	1	4	4	6	3	0	11	0
0.035	2	2	4	6	1	28	373	0
0.035	2	5	4	6	3	0	11	0
0.035	3	3	4	6	1	28	373	0
0.035	3	6	4	6	3	0	11	0
0.036	1	1	4	7	1	28	373	0
0.036	1	4	4	7	3	0	11	0
0.036	2	2	4	7	1	28	373	0
0.036	2	5	4	7	3	0	11	0
0.036	3	3	4	7	1	28	373	0
0.036	3	6	4	7	3	0	11	0
0.037	1	1	4	8	1	28	373	0
0.037	1	4	4	8	3	0	11	0
0.037	2	2	4	8	1	28	373	0
0.037	2	5	4	8	3	0	11	0
0.037	3	3	4	8	1	28	373	0
0.037	3	6	4	8	3	0	11	0
0.038	1	1	4	9	1	28	373	0
0.038	1	4	4	9	3	28	373	0
0.038	2	2	4	9	1	28	373	0
0.038	2	5	4	9	3	28	373	0
0.038	3	3	4	9	1	28	373	0
0.038	3	6	4	9	3	28	373	0
0.039	1	1	4	10	1	28	373	0
0.039	1	4	4	10	3	28	373	0
0.039	2	2	4	10	1	28	373	0
0.039	2	5	4	10	3	28	373	0
0.039	3	3	4	10	1	28	373	0
0.039	3	6	4	10	3	28	373	0
0.04	1	1	5	1	1	28	373	0
0.04	1	4	5	1	3	28	373	0
0.04	2	2	5	1	1	28	373	0
0.04	2	5	5	1	3	28	373	0
0.04	3	3	5	1	1	28	373	0
0.04	3	6	5	1	3	28	373	0
0.041	1	1	5	2	1	28	373	0
0.041	1	4	5	2	3	28	373	0
0.041	2	2	5	2	1	28	373	0
0.041	2	5	5	2	3	28	373	0
0.041	3	3	5	2	1	28	373	0
0.041	3	6	5	2	3	28	373	0
0.042	1	1	5	3	1	28	373	0
0.042	1	4	5	3	3	28	373	0
0.042	2	2	5	3	1	28	373	0
0.042	2	5	5	3	3	28	373	0
0.042	3	3	5	3	1	28	373	0
0.042	3	6	5	3	3	28	373	0
0.043	1	1	5	4	1	28	373	0
0.043	1	4	5	4	3	28	373	0
0.043	2	2	5	4	1	28	373	0
0.043	2	5	5	4	3	28	373	0
0.043	3	3	5	4	1	28	373	0
