% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	1	1	0.499845	0
0.041	2	2	1	0.499845	0
0.041	3	3	1	0.499845	0
0.043	1	4	3	1.76422e+06	0
0.043	2	5	3	1.76422e+06	0
0.043	3	6	3	1.76422e+06	0
0.081	1	1	1	0.499845	0
0.081	2	2	1	0.499845	0
0.081	3	3	1	0.499845	0
0.083	1	4	3	1.76422e+06	0
0.083	2	5	3	1.76422e+06	0
0.083	3	6	3	1.76422e+06	0
0.121	1	1	1	0.499845	0
0.121	2	2	1	0.499845	0
0.121	3	3	1	0.499845	0
0.123	1	4	3	1.76422e+06	0
0.123	2	5	3	1.76422e+06	0
0.123	3	6	3	1.76422e+06	0
0.161	1	1	1	0.499845	0
0.161	2	2	1	0.499845	0
0.161	3	3	1	0.499845	0
0.163	1	4	3	1.76422e+06	0
0.163	2	5	3	1.76422e+06	0
0.163	3	6	3	1.76422e+06	0
0.201	1	1	1	0.499845	0
0.201	2	2	1	0.499845	0
0.201	3	3	1	0.499845	0
0.203	1	4	3	1.76422e+06	0
0.203	2	5	3	1.76422e+06	0
0.203	3	6	3	1.76422e+06	0
0.241	1	1	1	0.499845	0
0.241	2	2	1	0.499845	0
0.241	3	3	1	0.499845	0
0.243	1	4	3	1.76422e+06	0
0.243	2	5	3	1.76422e+06	0
0.243	3	6	3	1.76422e+06	0
0.281	1	1	1	0.499845	0
0.281	2	2	1	0.499845	0
0.281	3	3	1	0.499845	0
0.283	1	4	3	1.76422e+06	0
0.283	2	5	3	1.76422e+06	0
0.283	3	6	3	1.76422e+06	0
0.321	1	1	1	0.499845	0
0.321	2	2	1	0.499845	0
0.321	3	3	1	0.499845	0
0.323	1	4	3	1.76422e+06	0
0.323	2	5	3	1.76422e+06	0
0.323	3	6	3	1.76422e+06	0
0.361	1	1	1	0.499845	0
0.361	2	2	1	0.499845	0
0.361	3	3	1	0.499845	0
0.363	1	4	3	1.76422e+06	0
0.363	2	5	3	1.76422e+06	0
0.363	3	6	3	1.76422e+06	0
0.401	1	1	1	0.499845	0
0.401	2	2	1	0.499845	0
0.401	3	3	1	0.499845	0
0.403	1	4	3	1.76422e+06	0
0.403	2	5	3	1.76422e+06	0
0.403	3	6	3	1.76422e+06	0
0.441	1	1	1	0.499845	0
0.441	2	2	1	0.499845	0
0.441	3	3	1	0.499845	0
0.443	1	4	3	1.76422e+06	0
0.443	2	5	3	1.76422e+06	0
0.443	3	6	3	1.76422e+06	0
0.481	1	1	1	0.499845	0
0.481	2	2	1	0.499845	0
0.481	3	3	1	0.499845	0
0.483	1	4	3	1.76422e+06	0
0.483	2	5	3	1.76422e+06	0
0.483	3	6	3	1.76422e+06	0
0.521	1	1	1	0.499845	0
0.521	2	2	1	0.499845	0
0.521	3	3	1	0.499845	0
0.523	1	4	3	1.76422e+06	0
0.523	2	5	3	1.76422e+06	0
0.523	3	6	3	1.76422e+06	0
0.561	1	1	1	0.499845	0
0.561	2	2	1	0.499845	0
0.561	3	3	1	0.499845	0
0.563	1	4	3	1.76422e+06	0
0.563	2	5	3	1.76422e+06	0
0.563	3	6	3	1.76422e+06	0
0.601	1	1	1	0.499845	0
0.601	2	2	1	0.499845	0
0.601	3	3	1	0.499845	0
0.603	1	4	3	1.76422e+06	0
0.603	2	5	3	1.76422e+06	0
0.603	3	6	3	1.76422e+06	0
0.641	1	1	1	0.499845	0
0.641	2	2	1	0.499845	0
0.641	3	3	1	0.499845	0
0.643	1	4	3	1.76422e+06	0
0.643	2	5	3	1.76422e+06	0
0.643	3	6	3	1.76422e+06	0
0.681	1	1	1	0.499845	0
0.681	2	2	1	0.499845	0
0.681	3	3	1	0.499845	0
0.683	1	4	3	1.76422e+06	0
0.683	2	5	3	1.76422e+06	0
0.683	3	6	3	1.76422e+06	0
0.721	1	1	1	0.499845	0
0.721	2	2	1	0.499845	0
0.721	3	3	1	0.499845	0
0.723	1	4	3	1.76422e+06	0
0.723	2	5	3	1.76422e+06	0
0.723	3	6	3	1.76422e+06	0
0.761	1	1	1	0.499845	0
0.761	2	2	1	0.499845	0
0.761	3	3	1	0.499845	0
0.763	1	4	3	1.76422e+06	0
0.763	2	5	3	1.76422e+06	0
0.763	3	6	3	1.76422e+06	0
0.801	1	1	1	0.499845	0
0.801	2	2	1	0.499845	0
0.801	3	3	1	0.499845	0
0.803	1	4	3	1.76422e+06	0
0.803	2	5	3	1.76422e+06	0
0.803	3	6	3	1.76422e+06	0
0.841	1	1	1	0.499845	0
0.841	2	2	1	0.499845	0
0.841	3	3	1	0.499845	0
0.843	1	4	3	1.76422e+06	0
0.843	2	5	3	1.76422e+06	0
0.843	3	6	3	1.76422e+06	0
0.881	1	1	1	0.499845	0
0.881	2	2	1	0.499845	0
0.881	3	3	1	0.499845	0
0.883	1	4	3	1.76422e+06	0
0.883	2	5	3	1.76422e+06	0
0.883	3	6	3	1.76422e+06	0
0.921	1	1	1	0.499845	0
0.921	2	2	1	0.499845	0
0.921	3	3	1	0.499845	0
0.923	1	4	3	1.76422e+06	0
0.923	2	5	3	1.76422e+06	0
0.923	3	6	3	1.76422e+06	0
0.961	1	1	1	0.499845	0
0.961	2	2	1	0.499845	0
0.961	3	3	1	0.499845	0
0.963	1	4	3	1.76422e+06	0
0.963	2	5	3	1.76422e+06	0
0.963	3	6	3	1.76422e+06	0
1.001	1	1	1	0.499845	0
1.001	2	2	1	0.499845	0
1.001	3	3	1	0.499845	0
1.003	1	4	3	1.76422e+06	0
1.003	2	5	3	1.76422e+06	0
1.003	3	6	3	1.76422e+06	0
1.041	1	1	1	0.499845	0
1.041	2	2	1	0.499845	0
1.041	3	3	1	0.499845	0
1.043	1	4	3	1.76422e+06	0
1.043	2	5	3	1.76422e+06	0
1.043	3	6	3	1.76422e+06	0
1.081	1	1	1	0.499845	0
1.081	2	2	1	0.499845	0
1.081	3	3	1	0.499845	0
1.083	1	4	3	1.76422e+06	0
1.083	2	5	3	1.76422e+06	0
1.083	3	6	3	1.76422e+06	0
1.121	1	1	1	0.499845	0
1.121	2	2	1	0.499845	0
1.121	3	3	1	0.499845	0
1.123	1	4	3	1.76422e+06	0
1.123	2	5	3	1.76422e+06	0
1.123	3	6	3	1.76422e+06	0
1.161	1	1	1	0.499845	0
1.161	2	2	1	0.499845	0
1.161	3	3	1	0.499845	0
1.163	1	4	3	1.76422e+06	0
1.163	2	5	3	1.76422e+06	0
1.163	3	6	3	1.76422e+06	0
1.201	1	1	1	0.499845	0
1.201	2	2	1	0.499845	0
1.201	3	3	1	0.499845	0
1.203	1	4	3	1.76422e+06	0
1.203	2	5	3	1.76422e+06	0
1.203	3	6	3	1.76422e+06	0
1.241	1	1	1	0.499845	0
1.241	2	2	1	0.499845	0
1.241	3	3	1	0.499845	0
1.243	1	4	3	1.76422e+06	0
1.243	2	5	3	1.76422e+06	0
1.243	3	6	3	1.76422e+06	0
1.281	1	1	1	0.499845	0
1.281	2	2	1	0.499845	0
1.281	3	3	1	0.499845	0
1.283	1	4	3	1.76422e+06	0
1.283	2	5	3	1.76422e+06	0
1.283	3	6	3	1.76422e+06	0
1.321	1	1	1	0.499845	0
1.321	2	2	1	0.499845	0
1.321	3	3	1	0.499845	0
1.323	1	4	3	1.76422e+06	0
1.323	2	5	3	1.76422e+06	0
1.323	3	6	3	1.76422e+06	0
1.361	1	1	1	0.499845	0
1.361	2	2	1	0.499845	0
1.361	3	3	1	0.499845	0
1.363	1	4	3	1.76422e+06	0
1.363	2	5	3	1.76422e+06	0
1.363	3	6	3	1.76422e+06	0
1.401	1	1	1	0.499845	0
1.401	2	2	1	0.499845	0
1.401	3	3	1	0.499845	0
1.403	1	4	3	1.76422e+06	0
1.403	2	5	3	1.76422e+06	0
1.403	3	6	3	1.76422e+06	0
1.441	1	1	1	0.499845	0
1.441	2	2	1	0.499845	0
1.441	3	3	1	0.499845	0
1.443	1	4	3	1.76422e+06	0
1.443	2	5	3	1.76422e+06	0
1.443	3	6	3	1.76422e+06	0
1.481	1	1	1	0.499845	0
1.481	2	2	1	0.499845	0
1.481	3	3	1	0.499845	0
1.483	1	4	3	1.76422e+06	0
1.483	2	5	3	1.76422e+06	0
1.483	3	6	3	1.76422e+06	0
1.521	1	1	1	0.499845	0
1.521	2	2	1	0.499845	0
1.521	3	3	1	0.499845	0
1.523	1	4	3	1.76422e+06	0
1.523	2	5	3	1.76422e+06	0
1.523	3	6	3	1.76422e+06	0
1.561	1	1	1	0.499845	0
1.561	2	2	1	0.499845	0
