% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	1	1	0.499845	0
0.041	2	2	1	0.499845	0
0.041	3	3	1	0.499845	0
0.042	1	4	2	1.76422e+06	0
0.042	2	5	2	1.76422e+06	0
0.042	3	6	2	1.76422e+06	0
0.081	1	1	1	0.499845	0
0.081	2	2	1	0.499845	0
0.081	3	3	1	0.499845	0
0.082	1	4	2	1.76422e+06	0
0.082	2	5	2	1.76422e+06	0
0.082	3	6	2	1.76422e+06	0
0.121	1	1	1	0.499845	0
0.121	2	2	1	0.499845	0
0.121	3	3	1	0.499845	0
0.122	1	4	2	1.76422e+06	0
0.122	2	5	2	1.76422e+06	0
0.122	3	6	2	1.76422e+06	0
0.161	1	1	1	0.499845	0
0.161	2	2	1	0.499845	0
0.161	3	3	1	0.499845	0
0.162	1	4	2	1.76422e+06	0
0.162	2	5	2	1.76422e+06	0
0.162	3	6	2	1.76422e+06	0
0.201	1	1	1	0.499845	0
0.201	2	2	1	0.499845	0
0.201	3	3	1	0.499845	0
0.202	1	4	2	1.76422e+06	0
0.202	2	5	2	1.76422e+06	0
0.202	3	6	2	1.76422e+06	0
0.241	1	1	1	0.499845	0
0.241	2	2	1	0.499845	0
0.241	3	3	1	0.499845	0
0.242	1	4	2	1.76422e+06	0
0.242	2	5	2	1.76422e+06	0
0.242	3	6	2	1.76422e+06	0
0.281	1	1	1	0.499845	0
0.281	2	2	1	0.499845	0
0.281	3	3	1	0.499845	0
0.282	1	4	2	1.76422e+06	0
0.282	2	5	2	1.76422e+06	0
0.282	3	6	2	1.76422e+06	0
0.321	1	1	1	0.499845	0
0.321	2	2	1	0.499845	0
0.321	3	3	1	0.499845	0
0.322	1	4	2	1.76422e+06	0
0.322	2	5	2	1.76422e+06	0
0.322	3	6	2	1.76422e+06	0
0.361	1	1	1	0.499845	0
0.361	2	2	1	0.499845	0
0.361	3	3	1	0.499845	0
0.362	1	4	2	1.76422e+06	0
0.362	2	5	2	1.76422e+06	0
0.362	3	6	2	1.76422e+06	0
0.401	1	1	1	0.499845	0
0.401	2	2	1	0.499845	0
0.401	3	3	1	0.499845	0
0.402	1	4	2	1.76422e+06	0
0.402	2	5	2	1.76422e+06	0
0.402	3	6	2	1.76422e+06	0
0.441	1	1	1	0.499845	0
0.441	2	2	1	0.499845	0
0.441	3	3	1	0.499845	0
0.442	1	4	2	1.76422e+06	0
0.442	2	5	2	1.76422e+06	0
0.442	3	6	2	1.76422e+06	0
0.481	1	1	1	0.499845	0
0.481	2	2	1	0.499845	0
0.481	3	3	1	0.499845	0
0.482	1	4	2	1.76422e+06	0
0.482	2	5	2	1.76422e+06	0
0.482	3	6	2	1.76422e+06	0
0.521	1	1	1	0.499845	0
0.521	2	2	1	0.499845	0
0.521	3	3	1	0.499845	0
0.522	1	4	2	1.76422e+06	0
0.522	2	5	2	1.76422e+06	0
0.522	3	6	2	1.76422e+06	0
0.561	1	1	1	0.499845	0
0.561	2	2	1	0.499845	0
0.561	3	3	1	0.499845	0
0.562	1	4	2	1.76422e+06	0
0.562	2	5	2	1.76422e+06	0
0.562	3	6	2	1.76422e+06	0
0.601	1	1	1	0.499845	0
0.601	2	2	1	0.499845	0
0.601	3	3	1	0.499845	0
0.602	1	4	2	1.76422e+06	0
0.602	2	5	2	1.76422e+06	0
0.602	3	6	2	1.76422e+06	0
0.641	1	1	1	0.499845	0
0.641	2	2	1	0.499845	0
0.641	3	3	1	0.499845	0
0.642	1	4	2	1.76422e+06	0
0.642	2	5	2	1.76422e+06	0
0.642	3	6	2	1.76422e+06	0
0.681	1	1	1	0.499845	0
0.681	2	2	1	0.499845	0
0.681	3	3	1	0.499845	0
0.682	1	4	2	1.76422e+06	0
0.682	2	5	2	1.76422e+06	0
0.682	3	6	2	1.76422e+06	0
0.721	1	1	1	0.499845	0
0.721	2	2	1	0.499845	0
0.721	3	3	1	0.499845	0
0.722	1	4	2	1.76422e+06	0
0.722	2	5	2	1.76422e+06	0
0.722	3	6	2	1.76422e+06	0
0.761	1	1	1	0.499845	0
0.761	2	2	1	0.499845	0
0.761	3	3	1	0.499845	0
0.762	1	4	2	1.76422e+06	0
0.762	2	5	2	1.76422e+06	0
0.762	3	6	2	1.76422e+06	0
0.801	1	1	1	0.499845	0
0.801	2	2	1	0.499845	0
0.801	3	3	1	0.499845	0
0.802	1	4	2	1.76422e+06	0
0.802	2	5	2	1.76422e+06	0
0.802	3	6	2	1.76422e+06	0
0.841	1	1	1	0.499845	0
0.841	2	2	1	0.499845	0
0.841	3	3	1	0.499845	0
0.842	1	4	2	1.76422e+06	0
0.842	2	5	2	1.76422e+06	0
0.842	3	6	2	1.76422e+06	0
0.881	1	1	1	0.499845	0
0.881	2	2	1	0.499845	0
0.881	3	3	1	0.499845	0
0.882	1	4	2	1.76422e+06	0
0.882	2	5	2	1.76422e+06	0
0.882	3	6	2	1.76422e+06	0
0.921	1	1	1	0.499845	0
0.921	2	2	1	0.499845	0
0.921	3	3	1	0.499845	0
0.922	1	4	2	1.76422e+06	0
0.922	2	5	2	1.76422e+06	0
0.922	3	6	2	1.76422e+06	0
0.961	1	1	1	0.499845	0
0.961	2	2	1	0.499845	0
0.961	3	3	1	0.499845	0
0.962	1	4	2	1.76422e+06	0
0.962	2	5	2	1.76422e+06	0
0.962	3	6	2	1.76422e+06	0
1.001	1	1	1	0.499845	0
1.001	2	2	1	0.499845	0
1.001	3	3	1	0.499845	0
1.002	1	4	2	1.76422e+06	0
1.002	2	5	2	1.76422e+06	0
1.002	3	6	2	1.76422e+06	0
1.041	1	1	1	0.499845	0
1.041	2	2	1	0.499845	0
1.041	3	3	1	0.499845	0
1.042	1	4	2	1.76422e+06	0
1.042	2	5	2	1.76422e+06	0
1.042	3	6	2	1.76422e+06	0
1.081	1	1	1	0.499845	0
1.081	2	2	1	0.499845	0
1.081	3	3	1	0.499845	0
1.082	1	4	2	1.76422e+06	0
1.082	2	5	2	1.76422e+06	0
1.082	3	6	2	1.76422e+06	0
1.121	1	1	1	0.499845	0
1.121	2	2	1	0.499845	0
1.121	3	3	1	0.499845	0
1.122	1	4	2	1.76422e+06	0
1.122	2	5	2	1.76422e+06	0
1.122	3	6	2	1.76422e+06	0
1.161	1	1	1	0.499845	0
1.161	2	2	1	0.499845	0
1.161	3	3	1	0.499845	0
1.162	1	4	2	1.76422e+06	0
1.162	2	5	2	1.76422e+06	0
1.162	3	6	2	1.76422e+06	0
1.201	1	1	1	0.499845	0
1.201	2	2	1	0.499845	0
1.201	3	3	1	0.499845	0
1.202	1	4	2	1.76422e+06	0
1.202	2	5	2	1.76422e+06	0
1.202	3	6	2	1.76422e+06	0
1.241	1	1	1	0.499845	0
1.241	2	2	1	0.499845	0
1.241	3	3	1	0.499845	0
1.242	1	4	2	1.76422e+06	0
1.242	2	5	2	1.76422e+06	0
1.242	3	6	2	1.76422e+06	0
1.281	1	1	1	0.499845	0
1.281	2	2	1	0.499845	0
1.281	3	3	1	0.499845	0
1.282	1	4	2	1.76422e+06	0
1.282	2	5	2	1.76422e+06	0
1.282	3	6	2	1.76422e+06	0
1.321	1	1	1	0.499845	0
1.321	2	2	1	0.499845	0
1.321	3	3	1	0.499845	0
1.322	1	4	2	1.76422e+06	0
1.322	2	5	2	1.76422e+06	0
1.322	3	6	2	1.76422e+06	0
1.361	1	1	1	0.499845	0
1.361	2	2	1	0.499845	0
1.361	3	3	1	0.499845	0
1.362	1	4	2	1.76422e+06	0
1.362	2	5	2	1.76422e+06	0
1.362	3	6	2	1.76422e+06	0
1.401	1	1	1	0.499845	0
1.401	2	2	1	0.499845	0
1.401	3	3	1	0.499845	0
1.402	1	4	2	1.76422e+06	0
1.402	2	5	2	1.76422e+06	0
1.402	3	6	2	1.76422e+06	0
1.441	1	1	1	0.499845	0
1.441	2	2	1	0.499845	0
1.441	3	3	1	0.499845	0
1.442	1	4	2	1.76422e+06	0
1.442	2	5	2	1.76422e+06	0
1.442	3	6	2	1.76422e+06	0
1.481	1	1	1	0.499845	0
1.481	2	2	1	0.499845	0
1.481	3	3	1	0.499845	0
1.482	1	4	2	1.76422e+06	0
1.482	2	5	2	1.76422e+06	0
1.482	3	6	2	1.76422e+06	0
1.521	1	1	1	0.499845	0
1.521	2	2	1	0.499845	0
1.521	3	3	1	0.499845	0
1.522	1	4	2	1.76422e+06	0
1.522	2	5	2	1.76422e+06	0
1.522	3	6	2	1.76422e+06	0
1.561	1	1	1	0.499845	0
1.561	2	2	1	0.499845	0
