% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
32	1	1	1	0	0	19	0	1	0
32	2	2	1	0	0	19	0	1	0
32	3	3	1	0	0	19	0	1	0
33	1	4	2	0	0	19	0	1	0
33	2	2	1	0	0	19	0	1	0
33	3	3	1	0	0	19	0	1	0
34	1	1	1	0	0	19	0	1	0
34	2	2	1	0	0	19	0	1	0
34	3	3	1	0	0	19	0	1	0
35	1	4	2	0	0	19	0	1	0
35	2	2	1	0	0	19	0	1	0
35	3	3	1	0	0	19	0	1	0
36	1	1	1	0	0	19	0	1	0
36	3	3	1	0	0	19	0	1	0
37	1	4	2	0	0	19	0	1	0
37	2	2	1	0	0	19	0	1	0
37	3	3	1	0	0	19	0	1	0
38	1	1	1	0	0	19	0	1	0
38	2	5	3	0	0	19	0	1	0
38	3	6	3	0	0	19	0	1	0
39	1	4	2	0	0	19	0	1	0
40	2	5	3	0	0	19	0	1	0
40	3	6	3	0	0	19	0	1	0
41	1	4	2	0	28	549	0	1	0
42	2	5	3	0	0	19	0	1	0
42	3	6	3	0	0	19	0	1	0
43	1	4	2	0	28	549	0	1	0
43	2	2	1	0	2	32	0	1	0
43	3	3	1	0	2	32	0	1	0
44	1	1	1	0	2	32	0	1	0
44	2	5	3	0	0	19	0	1	0
44	3	6	3	0	0	19	0	1	0
45	1	4	2	0	28	549	0	1	0
45	2	2	1	0	2	32	0	1	0
45	3	3	1	0	2	32	0	1	0
46	1	1	1	0	28	549	0	1	0
46	2	5	3	0	28	549	0	1	0
46	3	6	3	0	28	549	0	1	0
47	1	4	2	0	28	549	0	1	0
47	2	2	1	0	2	32	0	1	0
47	3	3	1	0	2	32	0	1	0
48	1	1	1	0	28	549	0	1	0
48	2	5	3	0	28	549	0	1	0
48	3	6	3	0	28	549	0	1	0
49	1	4	2	0	28	549	0	1	0
49	2	2	1	0	2	32	0	1	0
49	3	3	1	0	2	32	0	1	0
50	1	1	1	0	28	549	0	1	0
50	2	5	3	0	28	549	0	1	0
50	3	6	3	0	28	549	0	1	0
51	1	4	2	0	28	549	0	1	0
51	2	2	1	0	2	32	0	1	0
51	3	3	1	0	2	32	0	1	0
52	1	1	1	0	28	549	0	1	0
52	2	5	3	0	28	549	0	1	0
52	3	6	3	0	28	549	0	1	0
53	1	4	2	0	28	549	0	1	0
53	2	2	1	0	2	32	0	1	0
